:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
1	:ok	:generate	"1707994833-n1"
0	:ok	:generate	"1707994833-n0"
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
1	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:ok	:generate	"1707994833-n0"
2	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
0	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
1	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
2	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
0	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
2	:ok	:generate	"1707994833-n2"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
2	:ok	:generate	"1707994833-n2"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
2	:ok	:generate	"1707994833-n2"
2	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:ok	:generate	"1707994833-n2"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
1	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:ok	:generate	"1707994833-n0"
1	:ok	:generate	"1707994833-n1"
1	:invoke	:generate	nil
1	:ok	:generate	"1707994833-n1"
2	:invoke	:generate	nil
2	:ok	:generate	"1707994833-n2"
0	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1707994833-n0"
